chan_name,x,y,z,dist
4-59,132.3333,-47.5659,0.0001,140.62224977470672
4-60,126.86399999999999,-53.393499999999996,-0.0010999999999999998,137.64207328520592
4-61,126.86399999999999,-53.393499999999996,-0.0010999999999999998,137.64207328520592
4-62,125.9386,-56.241,-0.0009999999999999998,137.92599845917374
4-63,125.9386,-56.241,-0.0009999999999999998,137.92599845917374
4-64,118.4476,-56.106899999999996,-0.0008,131.06417578182834
4-65,118.4476,-56.106899999999996,-0.0008,131.06417578182834
4-66,113.5606,-54.7338,-0.0008,126.06267780275016
4-67,113.5606,-54.7338,-0.0008,126.06267780275016
4-68,108.37889999999999,-53.5547,-0.0008,120.88875819239767
4-69,108.37889999999999,-53.5547,-0.0008,120.88875819239767
4-70,107.74699999999999,-50.2575,-0.0009999999999999998,118.89168312060352
4-71,107.74699999999999,-50.2575,-0.0009999999999999998,118.89168312060352
4-72,106.288,-45.7348,-9.999999999999996e-05,115.71002927594478
4-73,106.288,-45.7348,-9.999999999999996e-05,115.71002927594478
4-74,106.42129999999999,-38.730599999999995,0.0006000000000000001,113.24995571765137
4-75,106.42129999999999,-38.730599999999995,0.0006000000000000001,113.24995571765137
4-76,107.0401,-36.012299999999996,0.0004,112.9356841715673
4-77,107.0401,-36.012299999999996,0.0004,112.9356841715673
4-78,110.87469999999999,-32.311899999999994,0.0012000000000000001,115.48704681348465
4-79,110.87469999999999,-32.311899999999994,0.0012000000000000001,115.48704681348465
4-80,113.18469999999999,-28.8585,0.002,116.80577612575502
4-81,113.18469999999999,-28.8585,0.002,116.80577612575502
4-82,122.0496,-28.9928,0.002,125.44595374901496
4-83,122.0496,-28.9928,0.002,125.44595374901496
4-84,125.6964,-30.600699999999996,0.0015,129.3676459299233
4-85,125.6964,-30.600699999999996,0.0015,129.3676459299233
4-86,130.2424,-33.667199999999994,0.0016,134.52346677661856
4-87,130.2424,-33.667199999999994,0.0016,134.52346677661856
5-0,80.69940000000001,45.550599999999996,0.0076,92.66741779460568
5-1,80.69940000000001,45.550599999999996,0.0076,92.66741779460568
5-2,82.9501,44.3505,0.007200000000000001,94.06213871829621
5-3,82.9501,44.3505,0.007200000000000001,94.06213871829621
5-4,82.94940000000001,41.6502,0.007500000000000001,92.81886726522794
5-5,82.94940000000001,41.6502,0.007500000000000001,92.81886726522794
5-6,80.69980000000001,40.4504,0.0069,90.27010900735637
5-7,80.69980000000001,40.4504,0.0069,90.27010900735637
